"","GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"201","01097003901",NA,1,"01","Alabama","AL"
"202","01117030315",NA,NA,"01","Alabama","AL"
"203","01097000701",NA,NA,"01","Alabama","AL"
"204","01097000702",NA,NA,"01","Alabama","AL"
"205","01097002600",1,NA,"01","Alabama","AL"
"206","01097003408",NA,NA,"01","Alabama","AL"
"207","01097004000",NA,NA,"01","Alabama","AL"
"208","01097004100",NA,NA,"01","Alabama","AL"
"209","01099075900",2,NA,"01","Alabama","AL"
"210","01099076000",11,1,"01","Alabama","AL"
"211","01099075800",5,NA,"01","Alabama","AL"
"212","01097002700",NA,NA,"01","Alabama","AL"
"213","01099076100",3,NA,"01","Alabama","AL"
"214","01099075700",NA,NA,"01","Alabama","AL"
"215","01099076200",NA,NA,"01","Alabama","AL"
"216","01099075600",NA,NA,"01","Alabama","AL"
"217","01117030331",NA,NA,"01","Alabama","AL"
"218","01117030800",NA,NA,"01","Alabama","AL"
"219","01117030609",NA,NA,"01","Alabama","AL"
"220","01117030608",NA,NA,"01","Alabama","AL"
"221","01117030607",NA,NA,"01","Alabama","AL"
"222","01117030304",NA,NA,"01","Alabama","AL"
"223","01117030316",NA,NA,"01","Alabama","AL"
"224","01117030305",NA,NA,"01","Alabama","AL"
"225","01117030605",NA,NA,"01","Alabama","AL"
"226","01117030330",NA,NA,"01","Alabama","AL"
"227","01117030303",NA,NA,"01","Alabama","AL"
"228","01117030306",1,NA,"01","Alabama","AL"
"229","01097001100",NA,NA,"01","Alabama","AL"
"230","01097000901",NA,NA,"01","Alabama","AL"
"231","01097000902",NA,NA,"01","Alabama","AL"
"232","01097000903",NA,NA,"01","Alabama","AL"
"233","01097001001",NA,NA,"01","Alabama","AL"
"234","01097001002",NA,NA,"01","Alabama","AL"
"235","01097001302",NA,NA,"01","Alabama","AL"
"236","01053970100",NA,NA,"01","Alabama","AL"
"237","01097001400",4,NA,"01","Alabama","AL"
"238","01097002800",NA,NA,"01","Alabama","AL"
"239","01073014001",NA,NA,"01","Alabama","AL"
"240","01073014410",NA,NA,"01","Alabama","AL"
"241","01101002201",NA,NA,"01","Alabama","AL"
"242","01101002202",NA,NA,"01","Alabama","AL"
"243","01101002300",NA,NA,"01","Alabama","AL"
"244","01101002400",NA,NA,"01","Alabama","AL"
"245","01101002500",NA,NA,"01","Alabama","AL"
"246","01101002600",NA,NA,"01","Alabama","AL"
"247","01103000200",NA,NA,"01","Alabama","AL"
"248","01101002700",NA,NA,"01","Alabama","AL"
"249","01101002900",NA,NA,"01","Alabama","AL"
"250","01101003000",NA,NA,"01","Alabama","AL"
"251","01101003100",NA,NA,"01","Alabama","AL"
"252","01101003200",NA,NA,"01","Alabama","AL"
"253","01103005101",NA,NA,"01","Alabama","AL"
"254","01103005105",NA,NA,"01","Alabama","AL"
"255","01103005600",NA,NA,"01","Alabama","AL"
"256","01103005500",NA,NA,"01","Alabama","AL"
"257","01103005405",NA,NA,"01","Alabama","AL"
"258","01019955701",NA,NA,"01","Alabama","AL"
"259","01101005609",NA,NA,"01","Alabama","AL"
"260","01003011407",NA,NA,"01","Alabama","AL"
"261","01015001600",NA,NA,"01","Alabama","AL"
"262","01039961600",NA,NA,"01","Alabama","AL"
"263","01039962100",NA,1,"01","Alabama","AL"
"264","01039962400",1,NA,"01","Alabama","AL"
"265","01039962600",NA,NA,"01","Alabama","AL"
"266","01039961800",NA,NA,"01","Alabama","AL"
"267","01039961900",NA,NA,"01","Alabama","AL"
"268","01039962300",NA,NA,"01","Alabama","AL"
"269","01039963000",NA,NA,"01","Alabama","AL"
"270","01039961700",NA,NA,"01","Alabama","AL"
"271","01039962700",NA,NA,"01","Alabama","AL"
"272","01053969900",NA,NA,"01","Alabama","AL"
"273","01053970400",3,3,"01","Alabama","AL"
"274","01053970500",3,NA,"01","Alabama","AL"
"275","01053970300",1,NA,"01","Alabama","AL"
"276","01053969800",NA,NA,"01","Alabama","AL"
"277","01053970600",NA,1,"01","Alabama","AL"
"278","01053970700",1,NA,"01","Alabama","AL"
"279","01053970200",1,1,"01","Alabama","AL"
"280","01001020700",NA,NA,"01","Alabama","AL"
"281","01101001700",NA,NA,"01","Alabama","AL"
"282","01101001800",NA,NA,"01","Alabama","AL"
"283","01101001900",NA,NA,"01","Alabama","AL"
"284","01101002000",NA,NA,"01","Alabama","AL"
"285","01101002100",NA,NA,"01","Alabama","AL"
"286","01001020200",NA,1,"01","Alabama","AL"
"287","01001020900",NA,NA,"01","Alabama","AL"
"288","01001020600",NA,NA,"01","Alabama","AL"
"289","01001020100",NA,NA,"01","Alabama","AL"
"290","01121010301",NA,NA,"01","Alabama","AL"
"291","01001020400",NA,NA,"01","Alabama","AL"
"292","01045020500",NA,NA,"01","Alabama","AL"
"293","01045020700",NA,1,"01","Alabama","AL"
"294","01045021400",NA,NA,"01","Alabama","AL"
"295","01019955702",NA,NA,"01","Alabama","AL"
"296","01011952500",NA,NA,"01","Alabama","AL"
"297","01111000600",NA,NA,"01","Alabama","AL"
"298","01027959000",NA,1,"01","Alabama","AL"
"299","01081042003",NA,NA,"01","Alabama","AL"
"300","01081042102",NA,NA,"01","Alabama","AL"
"301","01121010600",NA,NA,"01","Alabama","AL"
"302","01121010302",NA,NA,"01","Alabama","AL"
"303","01081040901",NA,NA,"01","Alabama","AL"
"304","01019955800",NA,NA,"01","Alabama","AL"
"305","01019955900",NA,NA,"01","Alabama","AL"
"306","01019956100",NA,NA,"01","Alabama","AL"
"307","01019956000",NA,1,"01","Alabama","AL"
"308","01123962502",NA,NA,"01","Alabama","AL"
"309","01123962300",NA,NA,"01","Alabama","AL"
"310","01123962400",NA,1,"01","Alabama","AL"
"311","01123962200",NA,NA,"01","Alabama","AL"
"312","01123962000",NA,NA,"01","Alabama","AL"
"313","01101005610",NA,NA,"01","Alabama","AL"
"314","01103000300",1,NA,"01","Alabama","AL"
"315","01103000400",8,2,"01","Alabama","AL"
"316","01103000600",1,1,"01","Alabama","AL"
"317","01103000700",NA,NA,"01","Alabama","AL"
"318","01103000800",NA,NA,"01","Alabama","AL"
"319","01103000900",NA,NA,"01","Alabama","AL"
"320","01103001000",NA,NA,"01","Alabama","AL"
"321","01103005303",3,NA,"01","Alabama","AL"
"322","01033020200",5,NA,"01","Alabama","AL"
"323","01033020300",4,NA,"01","Alabama","AL"
"324","01033020400",3,NA,"01","Alabama","AL"
"325","01033020500",NA,2,"01","Alabama","AL"
"326","01037961200",NA,1,"01","Alabama","AL"
"327","01037961100",NA,NA,"01","Alabama","AL"
"328","01037961000",NA,1,"01","Alabama","AL"
"329","01109188900",NA,1,"01","Alabama","AL"
"330","01109188700",NA,NA,"01","Alabama","AL"
"331","01109188800",NA,NA,"01","Alabama","AL"
"332","01109189000",NA,1,"01","Alabama","AL"
"333","01109188600",NA,NA,"01","Alabama","AL"
"334","01109189300",NA,NA,"01","Alabama","AL"
"335","01109189200",NA,NA,"01","Alabama","AL"
"336","01109189100",NA,NA,"01","Alabama","AL"
"337","01073005905",NA,NA,"01","Alabama","AL"
"338","01073005907",NA,NA,"01","Alabama","AL"
"339","01073005908",NA,NA,"01","Alabama","AL"
"340","01047957200",3,NA,"01","Alabama","AL"
"341","01047956201",1,NA,"01","Alabama","AL"
"342","01117030337",NA,NA,"01","Alabama","AL"
"343","01117030704",NA,NA,"01","Alabama","AL"
"344","01073010001",NA,NA,"01","Alabama","AL"
"345","01073010002",NA,NA,"01","Alabama","AL"
"346","01073010200",3,1,"01","Alabama","AL"
"347","01073010301",NA,NA,"01","Alabama","AL"
"348","01073010302",NA,NA,"01","Alabama","AL"
"349","01073010401",NA,NA,"01","Alabama","AL"
"350","01081042004",NA,NA,"01","Alabama","AL"
"351","01073010402",NA,NA,"01","Alabama","AL"
"352","01073010602",1,NA,"01","Alabama","AL"
"353","01097004800",1,NA,"01","Alabama","AL"
"354","01073010603",NA,NA,"01","Alabama","AL"
"355","01073010701",NA,NA,"01","Alabama","AL"
"356","01073010702",NA,NA,"01","Alabama","AL"
"357","01073010703",NA,NA,"01","Alabama","AL"
"358","01097003501",NA,NA,"01","Alabama","AL"
"359","01097004900",NA,NA,"01","Alabama","AL"
"360","01097005000",NA,NA,"01","Alabama","AL"
"361","01097001501",NA,NA,"01","Alabama","AL"
"362","01097001800",1,NA,"01","Alabama","AL"
"363","01015001300",NA,NA,"01","Alabama","AL"
"364","01015001201",NA,1,"01","Alabama","AL"
"365","01015000500",NA,NA,"01","Alabama","AL"
"366","01015000800",3,NA,"01","Alabama","AL"
"367","01097003502",NA,NA,"01","Alabama","AL"
"368","01097005100",NA,NA,"01","Alabama","AL"
"369","01097005200",NA,1,"01","Alabama","AL"
"370","01097002900",NA,NA,"01","Alabama","AL"
"371","01097003602",NA,NA,"01","Alabama","AL"
"372","01097003605",NA,NA,"01","Alabama","AL"
"373","01097003606",NA,NA,"01","Alabama","AL"
"374","01097003608",NA,NA,"01","Alabama","AL"
"375","01097003703",NA,NA,"01","Alabama","AL"
"376","01097006403",NA,NA,"01","Alabama","AL"
"377","01097001901",NA,NA,"01","Alabama","AL"
"378","01097001902",NA,NA,"01","Alabama","AL"
"379","01073010704",NA,NA,"01","Alabama","AL"
"380","01073010705",NA,NA,"01","Alabama","AL"
"381","01073010706",NA,NA,"01","Alabama","AL"
"382","01073010801",NA,NA,"01","Alabama","AL"
"383","01089001401",NA,NA,"01","Alabama","AL"
"384","01087232300",1,NA,"01","Alabama","AL"
"385","01087231900",NA,NA,"01","Alabama","AL"
"386","01087231700",NA,NA,"01","Alabama","AL"
"387","01087232200",NA,NA,"01","Alabama","AL"
"388","01087232000",2,NA,"01","Alabama","AL"
"389","01087231500",1,NA,"01","Alabama","AL"
"390","01087231400",NA,NA,"01","Alabama","AL"
"391","01087231800",NA,NA,"01","Alabama","AL"
"392","01047956202",NA,NA,"01","Alabama","AL"
"393","01051030800",2,NA,"01","Alabama","AL"
"394","01101005408",NA,NA,"01","Alabama","AL"
"395","01101005611",NA,NA,"01","Alabama","AL"
"396","01101005608",NA,NA,"01","Alabama","AL"
"397","01101005503",NA,NA,"01","Alabama","AL"
"398","01101005501",NA,4,"01","Alabama","AL"
"399","01101005504",NA,NA,"01","Alabama","AL"
"400","01101005502",NA,NA,"01","Alabama","AL"
"401","01101005612",NA,NA,"01","Alabama","AL"
"402","01133965502",NA,NA,"01","Alabama","AL"
"403","01081040500",NA,NA,"01","Alabama","AL"
"404","01133965501",NA,NA,"01","Alabama","AL"
"405","01133965503",NA,NA,"01","Alabama","AL"
"406","01073014408",NA,NA,"01","Alabama","AL"
"407","01073011301",NA,NA,"01","Alabama","AL"
"408","01073012703",NA,NA,"01","Alabama","AL"
"409","01081040800",NA,NA,"01","Alabama","AL"
"410","01081041000",NA,NA,"01","Alabama","AL"
"411","01097007300",NA,NA,"01","Alabama","AL"
"412","01123962700",1,NA,"01","Alabama","AL"
"413","01123962600",NA,NA,"01","Alabama","AL"
"414","01123962100",NA,NA,"01","Alabama","AL"
"415","01101005409",NA,NA,"01","Alabama","AL"
"416","01101005607",NA,NA,"01","Alabama","AL"
"417","01125012600",NA,1,"01","Alabama","AL"
"418","01125012800",NA,NA,"01","Alabama","AL"
"419","01125011703",1,NA,"01","Alabama","AL"
"420","01125012503",NA,NA,"01","Alabama","AL"
"421","01051030901",NA,1,"01","Alabama","AL"
"422","01097005900",NA,NA,"01","Alabama","AL"
"423","01097006104",NA,NA,"01","Alabama","AL"
"424","01097005500",NA,NA,"01","Alabama","AL"
"425","01097007101",NA,NA,"01","Alabama","AL"
"426","01097003404",NA,NA,"01","Alabama","AL"
"427","01097006600",NA,NA,"01","Alabama","AL"
"428","01097006801",NA,NA,"01","Alabama","AL"
"429","01097006301",NA,NA,"01","Alabama","AL"
"430","01097002000",NA,NA,"01","Alabama","AL"
"431","01097001502",NA,NA,"01","Alabama","AL"
"432","01097001200",1,1,"01","Alabama","AL"
"433","01015000400",NA,NA,"01","Alabama","AL"
"434","01097003607",NA,NA,"01","Alabama","AL"
"435","01097006200",NA,NA,"01","Alabama","AL"
"436","01097005800",NA,NA,"01","Alabama","AL"
"437","01097003709",NA,NA,"01","Alabama","AL"
"438","01097006105",NA,NA,"01","Alabama","AL"
"439","01097006901",NA,NA,"01","Alabama","AL"
"440","01097006102",NA,NA,"01","Alabama","AL"
"441","01097003407",1,NA,"01","Alabama","AL"
"442","01097002200",NA,NA,"01","Alabama","AL"
"443","01097003800",NA,NA,"01","Alabama","AL"
"444","01097003000",NA,NA,"01","Alabama","AL"
"445","01097005700",NA,NA,"01","Alabama","AL"
"446","01097007103",NA,NA,"01","Alabama","AL"
"447","01097006302",NA,NA,"01","Alabama","AL"
"448","01015000200",NA,NA,"01","Alabama","AL"
"449","01015002101",NA,NA,"01","Alabama","AL"
"450","01015001700",NA,NA,"01","Alabama","AL"
"451","01015001100",NA,NA,"01","Alabama","AL"
"452","01015002200",NA,NA,"01","Alabama","AL"
"453","01031010200",NA,NA,"01","Alabama","AL"
"454","01015000300",1,NA,"01","Alabama","AL"
"455","01089010623",NA,NA,"01","Alabama","AL"
"456","01025958002",NA,NA,"01","Alabama","AL"
"457","01031010900",NA,NA,"01","Alabama","AL"
"458","01031010500",NA,1,"01","Alabama","AL"
"459","01031011000",NA,NA,"01","Alabama","AL"
"460","01031010800",NA,NA,"01","Alabama","AL"
"461","01031011300",NA,NA,"01","Alabama","AL"
"462","01031010600",NA,NA,"01","Alabama","AL"
"463","01031010700",NA,NA,"01","Alabama","AL"
"464","01031011201",NA,NA,"01","Alabama","AL"
"465","01031010300",NA,1,"01","Alabama","AL"
"466","01031010400",NA,NA,"01","Alabama","AL"
"467","01031010100",NA,NA,"01","Alabama","AL"
"468","01113030901",NA,NA,"01","Alabama","AL"
"469","01097007600",2,NA,"01","Alabama","AL"
"470","01113031000",NA,NA,"01","Alabama","AL"
"471","01113031200",NA,NA,"01","Alabama","AL"
"472","01113030902",NA,NA,"01","Alabama","AL"
"473","01113030800",NA,NA,"01","Alabama","AL"
