"GEOID","BF_COUNT","PB_COUNT","STATE_NUM","STATE_TERR","STATE_CODE"
"04005001302",1,NA,"04","Arizona","AZ"
"04005001700",1,NA,"04","Arizona","AZ"
"04005002100",2,NA,"04","Arizona","AZ"
"04005002200",1,NA,"04","Arizona","AZ"
"04007000800",4,NA,"04","Arizona","AZ"
"04007000900",7,NA,"04","Arizona","AZ"
"04007001100",7,NA,"04","Arizona","AZ"
"04007001200",1,3,"04","Arizona","AZ"
"04007001300",1,NA,"04","Arizona","AZ"
"04007940400",4,1,"04","Arizona","AZ"
"04009961500",1,NA,"04","Arizona","AZ"
"04011960300",2,NA,"04","Arizona","AZ"
"04012940200",3,1,"04","Arizona","AZ"
"04013030402",1,NA,"04","Arizona","AZ"
"04013040515",1,NA,"04","Arizona","AZ"
"04013061039",1,NA,"04","Arizona","AZ"
"04013071600",1,NA,"04","Arizona","AZ"
"04013071906",1,NA,"04","Arizona","AZ"
"04013082027",1,NA,"04","Arizona","AZ"
"04013082208",2,NA,"04","Arizona","AZ"
"04013107500",1,NA,"04","Arizona","AZ"
"04013111800",2,NA,"04","Arizona","AZ"
"04013113801",1,NA,"04","Arizona","AZ"
"04013114000",1,NA,"04","Arizona","AZ"
"04013114100",2,3,"04","Arizona","AZ"
"04013114800",1,NA,"04","Arizona","AZ"
"04013115400",1,NA,"04","Arizona","AZ"
"04013115802",1,NA,"04","Arizona","AZ"
"04013218300",1,NA,"04","Arizona","AZ"
"04013420304",1,NA,"04","Arizona","AZ"
"04013421302",1,NA,"04","Arizona","AZ"
"04013421400",2,NA,"04","Arizona","AZ"
"04013421501",13,NA,"04","Arizona","AZ"
"04013421502",15,NA,"04","Arizona","AZ"
"04013421601",16,NA,"04","Arizona","AZ"
"04013421602",28,NA,"04","Arizona","AZ"
"04013421701",1,NA,"04","Arizona","AZ"
"04013421702",1,NA,"04","Arizona","AZ"
"04013941000",1,NA,"04","Arizona","AZ"
"04013941100",4,NA,"04","Arizona","AZ"
"04013941300",17,1,"04","Arizona","AZ"
"04015940400",1,2,"04","Arizona","AZ"
"04015952400",1,NA,"04","Arizona","AZ"
"04015952600",1,NA,"04","Arizona","AZ"
"04015953602",1,3,"04","Arizona","AZ"
"04015954800",2,1,"04","Arizona","AZ"
"04017940011",1,NA,"04","Arizona","AZ"
"04017940013",1,1,"04","Arizona","AZ"
"04017940100",18,NA,"04","Arizona","AZ"
"04017940301",18,NA,"04","Arizona","AZ"
"04017940302",4,NA,"04","Arizona","AZ"
"04017960200",3,2,"04","Arizona","AZ"
"04017960400",3,NA,"04","Arizona","AZ"
"04017960500",2,1,"04","Arizona","AZ"
"04017960600",7,NA,"04","Arizona","AZ"
"04017961700",1,NA,"04","Arizona","AZ"
"04017963300",1,NA,"04","Arizona","AZ"
"04019000100",16,NA,"04","Arizona","AZ"
"04019000200",1,NA,"04","Arizona","AZ"
"04019000300",10,NA,"04","Arizona","AZ"
"04019000400",9,NA,"04","Arizona","AZ"
"04019000600",2,NA,"04","Arizona","AZ"
"04019000700",18,NA,"04","Arizona","AZ"
"04019000800",3,NA,"04","Arizona","AZ"
"04019000900",6,NA,"04","Arizona","AZ"
"04019001000",2,NA,"04","Arizona","AZ"
"04019001100",1,NA,"04","Arizona","AZ"
"04019001200",1,NA,"04","Arizona","AZ"
"04019001302",5,NA,"04","Arizona","AZ"
"04019001303",1,NA,"04","Arizona","AZ"
"04019001304",2,NA,"04","Arizona","AZ"
"04019001400",2,NA,"04","Arizona","AZ"
"04019001500",1,NA,"04","Arizona","AZ"
"04019001900",1,NA,"04","Arizona","AZ"
"04019002100",1,1,"04","Arizona","AZ"
"04019002201",6,NA,"04","Arizona","AZ"
"04019002300",63,NA,"04","Arizona","AZ"
"04019002400",2,NA,"04","Arizona","AZ"
"04019002501",4,3,"04","Arizona","AZ"
"04019002503",5,NA,"04","Arizona","AZ"
"04019002504",1,NA,"04","Arizona","AZ"
"04019002602",1,NA,"04","Arizona","AZ"
"04019002603",1,NA,"04","Arizona","AZ"
"04019002703",1,NA,"04","Arizona","AZ"
"04019002901",2,NA,"04","Arizona","AZ"
"04019003702",2,NA,"04","Arizona","AZ"
"04019003706",1,NA,"04","Arizona","AZ"
"04019003707",39,NA,"04","Arizona","AZ"
"04019003802",6,NA,"04","Arizona","AZ"
"04019004117",4,NA,"04","Arizona","AZ"
"04019004118",2,NA,"04","Arizona","AZ"
"04019004327",1,NA,"04","Arizona","AZ"
"04019004428",1,NA,"04","Arizona","AZ"
"04019004504",3,NA,"04","Arizona","AZ"
"04019004505",1,NA,"04","Arizona","AZ"
"04019004506",9,NA,"04","Arizona","AZ"
"04019004512",9,NA,"04","Arizona","AZ"
"04019004712",1,NA,"04","Arizona","AZ"
"04019005200",39,1,"04","Arizona","AZ"
"04019940700",2,NA,"04","Arizona","AZ"
"04019940800",8,NA,"04","Arizona","AZ"
"04019940900",1,NA,"04","Arizona","AZ"
"04021000310",1,NA,"04","Arizona","AZ"
"04021001100",1,NA,"04","Arizona","AZ"
"04021001406",1,NA,"04","Arizona","AZ"
"04021001500",1,NA,"04","Arizona","AZ"
"04021001711",2,NA,"04","Arizona","AZ"
"04021002102",1,1,"04","Arizona","AZ"
"04021941200",8,NA,"04","Arizona","AZ"
"04021941300",1,NA,"04","Arizona","AZ"
"04021941400",4,NA,"04","Arizona","AZ"
"04023966000",1,NA,"04","Arizona","AZ"
"04023966101",1,NA,"04","Arizona","AZ"
"04023966104",1,NA,"04","Arizona","AZ"
"04023966105",2,NA,"04","Arizona","AZ"
"04023966200",7,2,"04","Arizona","AZ"
"04023966302",5,NA,"04","Arizona","AZ"
"04023966401",1,NA,"04","Arizona","AZ"
"04023966402",2,NA,"04","Arizona","AZ"
"04025001401",6,NA,"04","Arizona","AZ"
"04025001603",1,NA,"04","Arizona","AZ"
"04025002001",1,NA,"04","Arizona","AZ"
"04025002100",1,NA,"04","Arizona","AZ"
"04027000100",15,1,"04","Arizona","AZ"
"04027000501",1,NA,"04","Arizona","AZ"
"04027010913",1,NA,"04","Arizona","AZ"
"04027011201",1,NA,"04","Arizona","AZ"
"04027011503",3,NA,"04","Arizona","AZ"
"05005950200",1,NA,"05","Arkansas","AR"
"05013480100",1,1,"05","Arkansas","AR"
"05013480200",1,NA,"05","Arkansas","AR"
"05017080200",1,NA,"05","Arkansas","AR"
"05017080300",2,NA,"05","Arkansas","AR"
"05019953601",1,NA,"05","Arkansas","AR"
"05021950300",1,NA,"05","Arkansas","AR"
"05021950600",1,1,"05","Arkansas","AR"
"05027950200",4,NA,"05","Arkansas","AR"
"05027950400",1,NA,"05","Arkansas","AR"
"05031000101",1,NA,"05","Arkansas","AR"
"05031000602",1,NA,"05","Arkansas","AR"
"05031001000",1,NA,"05","Arkansas","AR"
"05031001100",1,NA,"05","Arkansas","AR"
"05033020100",1,NA,"05","Arkansas","AR"
"05033020502",2,1,"05","Arkansas","AR"
"05037950500",1,NA,"05","Arkansas","AR"
"05039970300",2,1,"05","Arkansas","AR"
"05041950200",1,NA,"05","Arkansas","AR"
"05041950300",3,NA,"05","Arkansas","AR"
"05045030502",2,NA,"05","Arkansas","AR"
"05045030701",1,NA,"05","Arkansas","AR"
"05045030702",3,1,"05","Arkansas","AR"
"05051010300",1,NA,"05","Arkansas","AR"
"05051010600",1,NA,"05","Arkansas","AR"
"05051010800",1,1,"05","Arkansas","AR"
"05053470200",1,NA,"05","Arkansas","AR"
"05057480100",1,NA,"05","Arkansas","AR"
"05057480300",1,NA,"05","Arkansas","AR"
"05059020100",1,NA,"05","Arkansas","AR"
"05061950300",1,1,"05","Arkansas","AR"
"05063490200",1,NA,"05","Arkansas","AR"
"05069000502",8,NA,"05","Arkansas","AR"
"05069001000",34,1,"05","Arkansas","AR"
"05069001200",3,NA,"05","Arkansas","AR"
"05069001800",1,NA,"05","Arkansas","AR"
"05069002400",1,NA,"05","Arkansas","AR"
"05069002500",1,NA,"05","Arkansas","AR"
"05071952000",1,NA,"05","Arkansas","AR"
"05071952100",1,1,"05","Arkansas","AR"
"05073470100",7,1,"05","Arkansas","AR"
"05075470100",1,NA,"05","Arkansas","AR"
"05075470200",1,NA,"05","Arkansas","AR"
"05083950300",1,1,"05","Arkansas","AR"
"05083950500",2,NA,"05","Arkansas","AR"
"05085020500",3,NA,"05","Arkansas","AR"
"05085020700",2,NA,"05","Arkansas","AR"
"05091020400",11,2,"05","Arkansas","AR"
"05093011000",2,NA,"05","Arkansas","AR"
"05093011400",1,NA,"05","Arkansas","AR"
"05103950100",1,NA,"05","Arkansas","AR"
"05103950400",2,NA,"05","Arkansas","AR"
"05103950500",2,1,"05","Arkansas","AR"
"05103950600",4,NA,"05","Arkansas","AR"
"05107480100",1,NA,"05","Arkansas","AR"
"05107480300",2,NA,"05","Arkansas","AR"
"05107480400",8,1,"05","Arkansas","AR"
"05107480500",1,NA,"05","Arkansas","AR"
"05119000200",6,NA,"05","Arkansas","AR"
"05119000500",1,NA,"05","Arkansas","AR"
"05119001100",1,NA,"05","Arkansas","AR"
"05119001300",1,NA,"05","Arkansas","AR"
"05119001501",1,NA,"05","Arkansas","AR"
"05119001502",2,NA,"05","Arkansas","AR"
"05119001600",1,NA,"05","Arkansas","AR"
"05119001900",2,NA,"05","Arkansas","AR"
"05119002102",1,NA,"05","Arkansas","AR"
"05119002406",1,NA,"05","Arkansas","AR"
"05119002500",19,NA,"05","Arkansas","AR"
"05119002600",1,NA,"05","Arkansas","AR"
"05119002800",3,NA,"05","Arkansas","AR"
"05119003001",3,NA,"05","Arkansas","AR"
"05119003605",1,NA,"05","Arkansas","AR"
"05119003900",3,NA,"05","Arkansas","AR"
"05119004001",2,NA,"05","Arkansas","AR"
"05119004007",1,NA,"05","Arkansas","AR"
"05119004400",14,NA,"05","Arkansas","AR"
"05119004500",6,NA,"05","Arkansas","AR"
"05119004600",1,NA,"05","Arkansas","AR"
"05119004700",2,NA,"05","Arkansas","AR"
"05123960100",1,NA,"05","Arkansas","AR"
"05123960200",1,NA,"05","Arkansas","AR"
"05125010406",1,NA,"05","Arkansas","AR"
"05131000100",2,NA,"05","Arkansas","AR"
"05131000200",1,NA,"05","Arkansas","AR"
"05131000300",4,1,"05","Arkansas","AR"
"05131001001",1,NA,"05","Arkansas","AR"
"05131001202",1,NA,"05","Arkansas","AR"
"05131001303",1,NA,"05","Arkansas","AR"
"05131001305",1,NA,"05","Arkansas","AR"
"05131010301",1,NA,"05","Arkansas","AR"
"05135470200",1,NA,"05","Arkansas","AR"
"05139950900",1,NA,"05","Arkansas","AR"
"05143010102",1,NA,"05","Arkansas","AR"
"05143010107",1,NA,"05","Arkansas","AR"
"05143011101",1,2,"05","Arkansas","AR"
"05147490200",3,1,"05","Arkansas","AR"
"05149952600",1,NA,"05","Arkansas","AR"
"06001401000",2,NA,"06","California","CA"
"06001401500",1,NA,"06","California","CA"
"06001401700",2,NA,"06","California","CA"
"06001401800",2,NA,"06","California","CA"
"06001402200",2,NA,"06","California","CA"
"06001402600",1,NA,"06","California","CA"
"06001402700",1,NA,"06","California","CA"
"06001402800",53,NA,"06","California","CA"
"06001403300",2,NA,"06","California","CA"
"06001404800",1,NA,"06","California","CA"
"06001406000",1,NA,"06","California","CA"
"06001406100",3,NA,"06","California","CA"
"06001406202",2,NA,"06","California","CA"
"06001407300",1,NA,"06","California","CA"
"06001407500",3,NA,"06","California","CA"
"06001407900",1,NA,"06","California","CA"
"06001408800",8,NA,"06","California","CA"
"06001408900",1,NA,"06","California","CA"
"06001409000",2,NA,"06","California","CA"
"06001409200",2,NA,"06","California","CA"
"06001409400",1,NA,"06","California","CA"
"06001409500",1,NA,"06","California","CA"
"06001425101",5,NA,"06","California","CA"
"06001425103",6,NA,"06","California","CA"
"06001425104",12,NA,"06","California","CA"
"06001427300",2,NA,"06","California","CA"
"06001428000",1,1,"06","California","CA"
"06001432600",1,NA,"06","California","CA"
"06001433700",1,NA,"06","California","CA"
"06001435400",2,NA,"06","California","CA"
"06001435700",1,NA,"06","California","CA"
"06001436300",1,NA,"06","California","CA"
