X,Y,ID,COMPONENT,SITE_NAME,JOINT_BASE,STATE_TERR,BRAC_SITE,STATE_CODE,STATE_NUM,TRACT_ZIP,TRACT_FOLDER,TRACT_FILE
-79.272385488734,38.571687934619,"818",Navy Active,NIOC Sugar Grove,N/A,West Virginia,NO,WV,"54",tracts/tl_2019_54_tract.zip,tracts/tl_2019_54_tract/,tl_2019_54_tract.shp
-83.7922848837894,41.586489607573,"819",AF Guard,Toledo/Exp Airport,N/A,Ohio,NO,OH,"39",tracts/tl_2019_39_tract.zip,tracts/tl_2019_39_tract/,tl_2019_39_tract.shp
-104.742309792963,42.2619395328229,"820",Army Guard,MTCH Camp Guernsey,N/A,Wyoming,NO,WY,"56",tracts/tl_2019_56_tract.zip,tracts/tl_2019_56_tract/,tl_2019_56_tract.shp
-103.27007677872,44.0814512239383,"821",Army Guard,Camp Rapid,N/A,South Dakota,NO,SD,"46",tracts/tl_2019_46_tract.zip,tracts/tl_2019_46_tract/,tl_2019_46_tract.shp
-123.932366497516,46.1236266647819,"822",Army Guard,MTA Camp Rilea,N/A,Oregon,NO,OR,"41",tracts/tl_2019_41_tract.zip,tracts/tl_2019_41_tract/,tl_2019_41_tract.shp
-83.0279041486575,41.5501378982827,"823",Army Guard,Camp Perry TS (CTC),N/A,Ohio,NO,OH,"39",tracts/tl_2019_39_tract.zip,tracts/tl_2019_39_tract/,tl_2019_39_tract.shp
-92.2842963116254,34.8218518015049,"824",Army Guard,Camp Joseph T Robinson,N/A,Arkansas,NO,AR,"05",tracts/tl_2019_05_tract.zip,tracts/tl_2019_05_tract/,tl_2019_05_tract.shp
-93.4168257105381,32.5734991436277,"825",Army Guard,Camp Minden TS,N/A,Louisiana,NO,LA,"22",tracts/tl_2019_22_tract.zip,tracts/tl_2019_22_tract/,tl_2019_22_tract.shp
-94.3577907344548,46.0810249718681,"826",Army Guard,Camp Ripley,N/A,Minnesota,NO,MN,"27",tracts/tl_2019_27_tract.zip,tracts/tl_2019_27_tract/,tl_2019_27_tract.shp
-72.2748385503588,41.3678224479842,"827",Army Guard,Stones Ranch Military Reservation,N/A,Connecticut,NO,CT,"09",tracts/tl_2019_09_tract.zip,tracts/tl_2019_09_tract/,tl_2019_09_tract.shp
-120.729763667159,35.3246570278906,"828",Army Guard,ITC Camp San Luis Obisbo,N/A,California,NO,CA,"06",tracts/tl_2019_06_tract.zip,tracts/tl_2019_06_tract/,tl_2019_06_tract.shp
-81.9829393118997,29.9697962037494,"829",Army Guard,MTC Camp Blanding,N/A,Florida,NO,FL,"12",tracts/tl_2019_12_tract.zip,tracts/tl_2019_12_tract/,tl_2019_12_tract.shp
